category_eng,subcategory_eng,flavor_eng,subflavor_eng,synonym_eng,category_kor,subcategory_kor,flavor_kor,subflavor_kor,synonym_kor
fruit,stone fruit,cherry,dark cherry,,과일,핵과류,체리,다크 체리,
fruit,stone fruit,cherry,red cherry,,과일,핵과류,체리,레드 체리,
fruit,stone fruit,quince,,,과일,핵과류,모과,,
fruit,tropical fruit,lychee,,,과일,열대 과일,리치,,
fruit,tropical fruit,tamarind,,,과일,열대 과일,타마린드,,
fruit,tropical fruit,passion fruit,,,과일,열대 과일,패션 후르츠,,
fruit,tropical fruit,pineapple,pineapple juice,,과일,열대 과일,파인애플,파인애플 주스,
fruit,tropical fruit,mango,,,과일,열대 과일,망고,,
fruit,tropical fruit,papaya,,,과일,열대 과일,파파야,,
fruit,tropical fruit,kiwi,,,과일,열대 과일,키위,,
fruit,tropical fruit,banana,,,과일,열대 과일,바나나,,
fruit,tropical fruit,coconut,,,과일,열대 과일,코코넛,,
fruit,tropical fruit,guava,,,과일,열대 과일,구아바,,
fruit,tropical fruit,tropical,,,과일,열대 과일,트로피컬,,
fruit,tropical fruit,tropical candy,,,과일,열대 과일,트로피컬 캔디,,
fruit,tropical fruit,green mango,,,과일,열대 과일,그린 망고,,
fruit,tropical fruit,green papaya,,,과일,열대 과일,그린 파파야,,
fruit,tropical fruit,mangosteen,,,과일,열대 과일,망고 스틴,,
fruit,tropical fruit,apple mango,,,과일,열대 과일,애플 망고,,
fruit,tropical fruit,guyabano,,,과일,열대 과일,구야바노,,
fruit,tropical fruit,lychee juice,,,과일,열대 과일,리치 주스,,
fruit,tropical fruit,bubblegum,,,과일,열대 과일,풍선껌,,
fruit,tropical fruit,tropical juice,,,과일,열대 과일,프로피컬 주스,,
fruit,tropical fruit,starfruit,,,과일,열대 과일,스타 후르츠,,
fruit,tropical fruit,dragon fruit,,,과일,열대 과일,용과,,
fruit,tropical fruit,kiwi,gold kiwi,,과일,열대 과일,키위,골드 키위,
fruit,tropical fruit,jackfruit,,,과일,열대 과일,잭프루트,,잭프룻
fruit,tropical fruit,guava,pink guava,,과일,열대 과일,구아바,핑크 구아바,
grain & cereal,cereal,popcorn,,,곡물과 곡류,곡류,팝콘,,
grain & cereal,cereal,pastry,,,곡물과 곡류,곡류,페이스트리,,
grain & cereal,cereal,toasted oats,,,곡물과 곡류,곡류,구운 귀리,,
grain & cereal,cereal,graham cracker,,,곡물과 곡류,곡류,통밀 크래커,,
grain & cereal,cereal,rye,,,곡물과 곡류,곡류,호밀,,
grain & cereal,cereal,wheat,,,곡물과 곡류,곡류,밀,,
grain & cereal,cereal,barley,,,곡물과 곡류,곡류,보리,,
grain & cereal,cereal,malt,,,곡물과 곡류,곡류,맥아,,
grain & cereal,cereal,fresh bread,,,곡물과 곡류,곡류,갓 구운 빵,,
grain & cereal,cereal,cracker,,,곡물과 곡류,곡류,크래커,,
grain & cereal,cereal,bread,,,곡물과 곡류,곡류,빵,,
grain & cereal,cereal,rice syrup,,,곡물과 곡류,곡류,조청,,
grain & cereal,cereal,grain,,,곡물과 곡류,곡류,곡류,,
grain & cereal,cereal,sweet potato,baked sweet potato,,곡물과 곡류,곡류,고구마,군고구마,
grain & cereal,cereal,black soybean,,,곡물과 곡류,곡류,서리태,,검은콩
grain & cereal,cereal,lotus cookie,,,곡물과 곡류,곡류,로투스 쿠키,,
grain & cereal,cereal,puffed grain,popped grain,,곡물과 곡류,곡류,뻥튀기,뻥튀기,
nut,nutty,walnut,,,견과류,견과류,호두,,
nut,nutty,peanut,,,견과류,견과류,땅콩,,
nut,nutty,pecan,,,견과류,견과류,피칸,,
nut,nutty,hazelnut,,,견과류,견과류,헤이즐넛,,
nut,nutty,almond,roasted almond,,견과류,견과류,아몬드,구운 아몬드,
nut,nutty,cashew nut,,,견과류,견과류,캐슈넛,,
nut,nutty,macadamia,,,견과류,견과류,마카다미아,,
nut,nutty,pistachio,,,견과류,견과류,피스타치오,,
nut,nutty,nut,,,견과류,견과류,견과,,
nut,nutty,chestnut,,,견과류,견과류,체스넛,,
nut,nutty,praline,,,견과류,견과류,프랄린,,
roast,burnt,toast,,,구운,burnt,토스트,,
roast,burnt,burnt sugar,,,구운,burnt,졸인 설탕,,
roast,burnt,smoky,,,구운,burnt,스모키,,
roast,burnt,carbon,,,구운,burnt,카본,,
savory,savory,leathery,,,풍미있는,풍미있는,가죽,,
savory,savory,meat-like,,,풍미있는,풍미있는,고기 같은,,
savory,savory,soy sauce,,,풍미있는,풍미있는,간장,,
savory,savory,sundried tomato,,,풍미있는,풍미있는,썬드라이 토마토,,
savory,savory,umami,,,풍미있는,풍미있는,감칠맛,,우마미
spice,brown spice,cinnamon,cinnamon roll,,향신료,황색 향신료,시나몬,시나몬 롤,
spice,brown spice,cinnamon,cinnamon stick,,향신료,황색 향신료,시나몬,시나몬 스틱,
spice,brown spice,nutmeg,,,향신료,황색 향신료,넛맥,,
spice,brown spice,cumin,,,향신료,황색 향신료,커민,,
spice,brown spice,licorice,,,향신료,황색 향신료,감초,,
spice,brown spice,anise,,,향신료,황색 향신료,아니스,,
spice,brown spice,clove,,,향신료,황색 향신료,정향,,
spice,brown spice,cardamom,,,향신료,황색 향신료,카다멈,,
spice,pepper,black pepper,,,향신료,후추,블랙 페퍼,,
spice,pepper,white pepper,,,향신료,후추,화이트 페퍼,,백후추
spice,spice,coriander,,,향신료,향신료,고수,,
spice,spice,ginger,,,향신료,향신료,생강,,
spice,spice,vermut,,,향신료,향신료,베르뭇,,
spice,spice,spice,,,향신료,향신료,향신료,,
sweet & sugary,brown sugar,honey,,,달콤하고 설탕 같은,황설탕,꿀,,
sweet & sugary,brown sugar,cane sugar,,,달콤하고 설탕 같은,황설탕,케인 슈가,,
sweet & sugary,brown sugar,simple syrup,,,달콤하고 설탕 같은,황설탕,설탕 시럽,,
sweet & sugary,brown sugar,caramel,,,달콤하고 설탕 같은,황설탕,캐러멜,,"카라멜, 캬라멜"
sweet & sugary,brown sugar,maple syrup,,,달콤하고 설탕 같은,황설탕,메이플 시럽,,
sweet & sugary,brown sugar,molasses,,,달콤하고 설탕 같은,황설탕,당밀,,
sweet & sugary,brown sugar,agave syrup,,,달콤하고 설탕 같은,황설탕,아가베 시럽,,
sweet & sugary,brown sugar,sugarcane,,,달콤하고 설탕 같은,황설탕,사탕수수,,
sweet & sugary,brown sugar,syrup,,,달콤하고 설탕 같은,황설탕,시럽,,
sweet & sugary,brown sugar,panella,,,달콤하고 설탕 같은,황설탕,파넬라,,원당
sweet & sugary,honey,acacia honey,,,달콤하고 설탕 같은,꿀,아카시아 꿀,,
sweet & sugary,honey,honey tea,,,달콤하고 설탕 같은,꿀,꿀 차,,
sweet & sugary,overall sweet,marzipan,,,달콤하고 설탕 같은,달콤한,마지팬,,
sweet & sugary,overall sweet,nougat,,,달콤하고 설탕 같은,달콤한,누가,,
sweet & sugary,overall sweet,butter,,,달콤하고 설탕 같은,달콤한,버터,,
sweet & sugary,overall sweet,cream,,,달콤하고 설탕 같은,달콤한,크림,,
sweet & sugary,overall sweet,coke,cola,,달콤하고 설탕 같은,달콤한,콜라,콜라,
sweet & sugary,overall sweet,salted caramel,,,달콤하고 설탕 같은,달콤한,솔티드 카라멜,,
sweet & sugary,overall sweet,cotton candy,,,달콤하고 설탕 같은,달콤한,솜사탕,,
sweet & sugary,overall sweet,toffee,,,달콤하고 설탕 같은,달콤한,토피,,
sweet & sugary,overall sweet,turkish delight,,,달콤하고 설탕 같은,달콤한,터키시 딜라이트,,
sweet & sugary,overall sweet,chupa chups,,,달콤하고 설탕 같은,달콤한,추파춥스,,
